seqnames	start	end	width	strand	pr	delta	number	Annotated.gene.symbols	Detected.Features
chr3	128496369	128498476	2108	*	21.886	-0.016	185	GATA2-AS1	cpg_islands, cpg_shores, enhancers_fantom, exons, introns, lncrna_gencode
chr7	27195706	27200999	5294	*	21.838	0.061	186	HOXA13, HOTTIP	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr14	60647057	60654777	7721	*	21.822	0.002	187	SIX1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr10	101120908	101154259	33352	*	21.773	-0.001	188	TLX1, TLX1NB	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr1	35572918	35574241	1324	*	21.772	-0.009	189	TFAP2E, TFAP2E-AS1, AC004865.2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr8	22129768	22133871	4104	*	21.765	0.136	190	HRURF, HR	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr7	27129755	27131693	1939	*	21.642	0.07	191	HOXA4, HOXA-AS3, HOXA-AS2, HOXA3, AC004080.6	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr15	96365565	96369154	3590	*	21.627	-0.005	192	LOC101927263, AC087477.2	cpg_islands, cpg_shores, introns, lncrna_gencode
chr12	114445040	114446043	1004	*	21.616	0.304	193	LOC105369998	cpg_shores, exons, intergenic
chr2	176106208	176109487	3280	*	21.592	0.02	194	HOXD11, HOXD10	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr5	1871928	1888793	16866	*	21.577	0.054	195	IRX4, CTD-2194D22.4, IRX4-AS1, AC025183.1, AC025183.2	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr5	55220381	55223708	3328	*	21.545	0.088	196	MCIDAS	3UTRs, cpg_islands, cpg_shores, exons, introns
chr3	27712037	27715833	3797	*	21.512	0.038	197	LINC02084	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, lncrna_gencode, promoters
chr2	176071553	176087291	15739	*	21.448	0.051	198	EVX2	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, promoters
chr17	80473832	80479404	5573	*	21.415	0.027	199	NPTX1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr18	77248742	77252266	3525	*	21.392	0.028	200	GALR1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr12	1529612	1532004	2393	*	21.328	-0.019	201	WNT5B	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr2	218869984	218878063	8080	*	21.312	-0.023	202	WNT6	3UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, intergenic, introns
chr15	96320930	96323176	2247	*	21.274	0.095	203	NR2F2-AS1	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr15	96353795	96355670	1876	*	21.229	0.018	204	LOC101927263, AC087477.2	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr7	155446249	155450393	4145	*	21.211	0.001	205	AC008060.3	cpg_islands, cpg_shelves, cpg_shores, introns, lncrna_gencode
chr5	3601912	3603192	1281	*	21.177	-0.569	206		cpg_islands, cpg_shores
chr11	114058391	114062012	3622	*	21.142	0.026	207	ZBTB16	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr16	86563309	86570342	7034	*	21.134	0.041	208	FOXC2, FOXC2-AS1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	48568369	48579471	11103	*	21.123	0.279	209	HOXB4, HOXB3, HOXB6, HOXB-AS3	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr1	118981699	118990951	9253	*	21.014	0.073	210	TBX15	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr1	179741783	179744658	2876	*	20.969	0.012	211	FAM163A, AL359853.3	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr11	128692107	128695554	3448	*	20.929	-0.008	212	FLI1, SENCR	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	93059860	93069842	9983	*	20.873	0.052	213	CYP26C1, CYP26A1, AL358613.1, AL358613.3	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr2	172090011	172091607	1597	*	20.869	0.017	214		cpg_shelves, cpg_shores, exons, firstexons, intergenic
chr11	31809969	31812367	2399	*	20.812	0.008	215	PAX6, PAX6-AS1, PAUPAR, RCN1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr12	57620806	57622254	1449	*	20.782	0.038	216	SLC26A10P	3UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr1	47415894	47417585	1692	*	20.774	0.072	217	FOXE3	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, promoters
chr12	114697059	114698860	1802	*	20.628	0.013	218	AC026765.2	cpg_islands, cpg_shores, introns, lncrna_gencode
chr6	1604165	1615277	11113	*	20.61	-0.003	219	FOXC1, FOXCUT	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr6	41371330	41376094	4765	*	20.58	0.077	220		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr19	1744442	1768631	24190	*	20.568	0.024	221	ONECUT3, AC005256.1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr14	38254960	38256210	1251	*	20.532	0.207	222	CLEC14A, LOC112268136, AL355835.1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, lncrna_gencode, promoters
chr4	8839206	8879271	40066	*	20.475	0.04	223	HMX1, AC116612.1	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr16	56667614	56668447	834	*	20.473	0.005	224	MT1G	5UTRs, cpg_shores, exons, firstexons, introns, promoters
chr17	2053532	2057602	4071	*	20.47	-0.048	225	HIC1	5UTRs, cpg_islands, exons, firstexons, introns, promoters
chr10	100734198	100758241	24044	*	20.454	0.021	226	PAX2	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr17	1227920	1230504	2585	*	20.418	0.044	227	ABR	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr10	101213159	101219786	6628	*	20.406	0.008	228		cpg_islands, cpg_shores, intergenic
chr7	117321123	117325098	3976	*	20.388	0.03	229	WNT2, LOC105375467, CFTR, AC002465.1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr12	54016131	54035037	18907	*	20.329	0.004	230	HOXC5, HOXC6, HOXC4, MIR615, AC012531.1, AC012531.2	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr10	129958695	129960269	1575	*	20.282	0.184	231	EBF3	cpg_islands, enhancers_fantom, exons, firstexons, introns, promoters
chr7	156999663	157026512	26850	*	20.189	0.057	232	MNX1, MNX1-AS1, MNX1-AS2	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr22	45970567	45973052	2486	*	20.173	0.008	233	WNT7B	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr5	77843906	77845174	1269	*	20.168	0.135	234	TBCA	cpg_islands, cpg_shores, enhancers_fantom, introns
chr7	27235213	27236227	1015	*	20.144	0.047	235		cpg_islands, cpg_shores, intergenic
chr18	22158720	22172358	13639	*	20.119	-0.058	236	GATA6, GATA6-AS1	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr11	69816406	69821562	5157	*	20.1	-0.009	237	FGF3	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr5	173227629	173229400	1772	*	20.06	0.174	238		cpg_islands, cpg_shores
chr19	2289345	2291922	2578	*	20.03	-0.068	239	LINGO3, SPPL2B	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns
chr5	171304697	171322735	18039	*	20.014	0.056	240	TLX3, AC091980.2	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr2	19361161	19363823	2663	*	20.01	-0.037	241		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr17	76074123	76078199	4077	*	19.964	0.036	242	GALR2, ZACN	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr9	124017019	124020303	3285	*	19.859	0	243	LHX2	cpg_islands, cpg_shores, enhancers_fantom, introns
chr20	40686411	40690743	4333	*	19.854	0.034	244	MAFB	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, promoters
chr7	155450481	155481883	31403	*	19.813	0.033	245	CNPY1, EN2, AC008060.3, AC009403.2	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr14	101562495	101567497	5003	*	19.807	-0.033	246	DIO3, DIO3OS	3UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr10	93071382	93075875	4494	*	19.755	0.054	247	CYP26A1, AL358613.2, AL358613.3	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr10	129962941	129973281	10341	*	19.645	0.027	248	EBF3	5UTRs, cpg_islands, enhancers_fantom, exons, firstexons, introns, promoters
chr2	176126673	176133018	6346	*	19.624	0.046	249	HOXD8, HOXD-AS2	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr3	158103024	158107711	4688	*	19.622	0.085	250	RSRC1, SHOX2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	236162241	236175783	13543	*	19.609	0.057	251	GBX2, AC019068.1	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr20	21504459	21511089	6631	*	19.582	0.019	252	NKX2-2	3UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, promoters
chr2	161414221	161419414	5194	*	19.574	0.02	253	TBR1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr12	53915699	53966801	51103	*	19.57	0.111	254	HOXC12, HOXC13, HOTAIR, HOXC13-AS	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr7	91262961	91268053	5093	*	19.47	0.145	255	FZD1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, promoters
chr12	114664732	114665342	611	*	19.469	0.807	256		cpg_islands, cpg_shores, intergenic
chr11	31798267	31800401	2135	*	19.444	0.002	257	PAX6	cpg_islands, cpg_shores, enhancers_fantom, introns
chr15	76339716	76347462	7747	*	19.414	-0.027	258	ISL2, AC027243.1, AC027243.2	3UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr3	138945138	138947786	2649	*	19.395	0.035	259	FOXL2, FOXL2NB	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr19	39263786	39265879	2094	*	19.347	0.086	260		cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr11	16604289	16610134	5846	*	19.347	0.026	261	SOX6	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr17	81386467	81388094	1628	*	19.286	-0.019	262	AC110285.5	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, lncrna_gencode, promoters
chr10	75395179	75404291	9113	*	19.285	0.137	263	ZNF503, ZNF503-AS2, AC010997.3	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr16	73062850	73067638	4789	*	19.19	0.313	264	ZFHX3	cpg_islands, cpg_shores, enhancers_fantom, introns
chr5	42991878	42996191	4314	*	19.188	0.103	265	FLJ32255, LOC105374746, AC008875.2, AC008875.3	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr10	132784248	132791652	7405	*	19.179	0.031	266	NKX6-2	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr10	100722699	100725356	2658	*	19.108	0.022	267		cpg_islands, cpg_shores, intergenic
chr19	12995021	12998827	3807	*	19.05	0.026	268	NFIX	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr21	33013506	33034659	21154	*	19.028	0.056	269	OLIG2, C21orf62-AS1, AP000282.1	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr2	176088097	176100673	12577	*	19.006	0.041	270	HOXD12, HOXD13	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr8	22689723	22696459	6737	*	18.993	0.043	271	EGR3, LOC107986925, AC055854.1	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr15	96408429	96418272	9844	*	18.98	0.045	272		cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, intergenic
chr3	138935880	138937514	1635	*	18.975	0.023	273	LINC01391	cpg_islands, cpg_shores, exons, lncrna_gencode
chr2	44944200	44945431	1232	*	18.945	0.044	274	SIX3	3UTRs, cpg_islands, cpg_shores, exons, introns
chr3	196968127	196970354	2228	*	18.932	-0.004	275	PIGZ	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr6	108112243	108120062	7820	*	18.925	0.024	276	OSTM1	cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, introns
chr5	159097252	159101988	4737	*	18.915	0.053	277	EBF1, LINC02202, LOC107986467	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr9	77009029	77024251	15223	*	18.902	0.05	278	FOXB2	cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, promoters
chr14	101456518	101459561	3044	*	18.892	0.076	279	AL049836.2	cpg_islands, cpg_shores, exons, intergenic, introns, lncrna_gencode
chr12	57627011	57628131	1121	*	18.77	0.636	280	B4GALNT1	3UTRs, cpg_islands, cpg_shores, exons, firstexons, introns
chr10	86364750	86367873	3124	*	18.767	0.04	281	GRID1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr15	41492580	41495399	2820	*	18.755	0.06	282	ITPKA	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	199469137	199471790	2654	*	18.708	0.114	283	SATB2, SATB2-AS1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr3	62363518	62376414	12897	*	18.697	0.048	284	FEZF2, PTPRG-AS1	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr8	11691117	11721409	30293	*	18.697	0.033	285	GATA4	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr14	52267437	52269392	1956	*	18.68	0.15	286	PTGDR	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr8	22155466	22157565	2100	*	18.677	0.01	287	LGI3, SFTPC	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr6	98830483	98837529	7047	*	18.656	0.023	288	POU3F2, AL589826.2	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr1	224615603	224618708	3106	*	18.652	0.015	289	CNIH3, CNIH3-AS2, AC096537.1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr13	27955459	27983197	27739	*	18.641	0.038	290	CDX2, URAD	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr9	21964437	21971614	7178	*	18.601	0.228	291	CDKN2A, CDKN2A-DT, MTAP	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr7	150799384	150801846	2463	*	18.598	0.055	292	TMEM176A, TMEM176B	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr8	64579253	64582228	2976	*	18.574	-0.003	293	BHLHE22, BHLHE22-AS1, AC090136.3	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	61409235	61410355	1121	*	18.556	0.033	294	TBX2, TBX2-AS1	3UTRs, cpg_islands, cpg_shores, exons, introns, lncrna_gencode
chr11	72239240	72241415	2176	*	18.532	0.02	295	PHOX2A	3UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr5	55226254	55234782	8529	*	18.445	0.032	296	CCNO, MCIDAS, LOC105378973, AC026704.1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr10	8058185	8060914	2730	*	18.444	0.188	297	GATA3	cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr5	93596338	93597467	1130	*	18.389	0.074	298		cpg_shelves, cpg_shores, enhancers_fantom
chr15	40281631	40283888	2258	*	18.373	0.123	299	ANKRD63, PLCB2	5UTRs, cpg_islands, exons, firstexons, introns, promoters
chr6	84767737	84775130	7394	*	18.359	-0.099	300	AL035694.1	cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr8	10729279	10735117	5839	*	18.359	0.031	301	SOX7, LOC102723313, AC105001.1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr11	128685137	128687797	2661	*	18.295	0.126	302	FLI1, LOC101929538, LOC105369568, AP001122.1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr2	45000323	45003063	2741	*	18.276	-0.033	303		cpg_islands, cpg_shores, intergenic
chr1	46487548	46495400	7853	*	18.272	0.072	304	DMBX1	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr9	122225746	122233192	7447	*	18.258	0.071	305	LHX6	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr9	93940706	93956361	15656	*	18.199	0.009	306	BARX1, BARX1-DT	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr2	74497265	74500364	3100	*	18.115	0.003	307	LBX2	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr20	63002956	63010957	8002	*	18.099	0.031	308	BHLHE23, LINC01749	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr17	48552532	48557339	4808	*	18.085	0.119	309	HOXB3, HOXB-AS2, HOXB-AS3	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr15	32717108	32720343	3236	*	18.015	0.047	310	GREM1, GREM1-AS1, AC090877.2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr7	132575105	132577920	2816	*	17.991	-0.015	311	PLXNA4	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr1	170661315	170669485	8171	*	17.889	-0.276	312	PRRX1, Z97200.1	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr6	41408180	41409175	996	*	17.849	-0.014	313		cpg_islands, cpg_shores, intergenic
chr6	99588401	99590099	1699	*	17.844	0.048	314	TSTD3	cpg_islands, cpg_shores, exons, intergenic
chr19	18787160	18791759	4600	*	17.727	0.026	315	COMP	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr10	22320021	22322685	2665	*	17.681	0.01	316	COMMD3, BMI1, COMMD3-BMI1	3UTRs, 5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr1	61053680	61054357	678	*	17.618	-0.233	317	NFIA, LOC105378764, NFIA-AS2	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr11	31800954	31803118	2165	*	17.591	-0.005	318	PAX6	3UTRs, 5UTRs, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr10	8033702	8056271	22570	*	17.569	0.029	319	GATA3, GATA3-AS1, AL390294.1	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr4	41736839	41753397	16559	*	17.545	0.049	320	PHOX2B, PHOX2B-AS1, AC105389.1, AC105389.3	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr11	117795741	117797621	1881	*	17.541	0.035	321	DSCAML1	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr5	73418298	73420339	2042	*	17.491	0.006	322		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr5	2738950	2742052	3103	*	17.457	0.071	323		cpg_islands, cpg_shores, enhancers_fantom
chr2	120342447	120348614	6168	*	17.396	0.028	324	INHBB	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr4	13510953	13542870	31918	*	17.307	0.056	325	NKX3-2, LINC01097, AC006445.3	3UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr8	23726285	23728001	1717	*	17.293	0.099	326	LOC101929258, LOC107986930, AC012574.1, AC012574.2	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr12	27974039	27976752	2714	*	17.267	0.024	327		cpg_islands, cpg_shores, enhancers_fantom
chr5	73436286	73439180	2895	*	17.258	-0.095	328		cpg_islands, cpg_shores, intergenic
chr17	79796296	79816062	19767	*	17.255	0.07	329	CBX8, AC100791.2	5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr4	41872935	41883174	10240	*	17.25	0.014	330	LINC00682, LOC105374426, AC108210.1	cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr19	13009213	13010421	1209	*	17.244	0.11	331	NFIX	cpg_islands, cpg_shores, introns
chr6	10405374	10417780	12407	*	17.243	0.115	332	TFAP2A, TFAP2A-AS1, TFAP2A-AS2, AL138885.3	3UTRs, 5UTRs, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr5	93579154	93586319	7166	*	17.175	0.005	333	NR2F1, NR2F1-AS1	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr6	105981189	105981687	499	*	17.153	0.197	334		cpg_islands, cpg_shores, enhancers_fantom, intergenic
chr5	154470720	154491321	20602	*	17.148	0.026	335	HAND1, AC026688.2	3UTRs, 5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, lncrna_gencode, promoters
chr12	48969512	48974624	5113	*	17.094	0.103	336	WNT10B	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr17	79837259	79845909	8651	*	17.04	-0.015	337	CBX4	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
chr2	218856719	218861656	4938	*	17.023	0.019	338	WNT6	5UTRs, cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, promoters
chr1	165348160	165357020	8861	*	17.016	0.03	339	LMX1A	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr1	47220378	47234216	13839	*	17.008	0.054	340	TAL1, AL135960.1	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr2	156319766	156323032	3267	*	17.001	0.009	341	AC074099.1	cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	17722109	17725236	3128	*	16.965	0.031	342	RAI1	5UTRs, cpg_islands, cpg_shores, exons, introns
chr2	219055857	219061825	5969	*	16.936	0.037	343	IHH, MIR3131	5UTRs, cpg_islands, cpg_shores, exons, firstexons, introns, promoters
chr2	219496605	219497194	590	*	16.901	0.453	344	SPEGNB, ASIC4-AS1, AC053503.1	cpg_islands, cpg_shores, exons, introns, lncrna_gencode, promoters
chr10	75407731	75409931	2201	*	16.895	-0.037	345	LOC101929234, ZNF503-AS2, AC010997.4, AC010997.5	cpg_islands, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr17	68195627	68201961	6335	*	16.832	0.037	346	ARHGAP27P2	cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, promoters
chr5	3593948	3601203	7256	*	16.83	-0.257	347	IRX1, AC016595.1	3UTRs, 5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, introns, lncrna_gencode, promoters
chr1	147075545	147085750	10206	*	16.807	0.073	348	RNVU1-8	cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, intergenic, promoters
chr13	50129526	50131646	2121	*	16.799	0.048	349	DLEU1	cpg_islands, cpg_shores, enhancers_fantom, introns, lncrna_gencode
chr17	48634747	48648186	13440	*	16.786	0.078	350	HOXB-AS4, LINC02086, LOC101060400, AC103702.2	cpg_islands, cpg_shelves, cpg_shores, exons, firstexons, introns, lncrna_gencode, promoters
chr8	11675700	11690698	14999	*	16.765	0.009	351	GATA4	5UTRs, cpg_inter, cpg_islands, cpg_shelves, cpg_shores, enhancers_fantom, exons, firstexons, introns, promoters
chr11	129370640	129376823	6184	*	16.761	0.044	352	BARX2	5UTRs, cpg_islands, cpg_shores, enhancers_fantom, exons, firstexons, intergenic, introns, promoters
