ch,b,e,d,bl,ez1,ez2,su,pr
chr8,17534446,17535730,1284,0,0.47259075919264015,0.4450218488014085,0.5732294439537208,0.4969473506492565
chr6,85510521,85514216,3695,0,0.4134416810037798,0.42100336051664866,0.6558011477334427,0.4967487297512904
chr18,65937616,65939586,1970,0,0.492705110873188,0.4950026393529994,0.5019304426763214,0.4965460643008363
chr11,114065969,114067663,1694,0,0.4792034388894764,0.4791640001944311,0.5306621414291061,0.49634319350433787
chr7,82335249,82336581,1332,0,0.5280632491786007,0.5158510214337662,0.44380216141832607,0.49590547734356427
chr6,88196078,88200619,4541,0,0.4456197053376929,0.44477403512695834,0.5965164003756559,0.4956367136134357
chr19,56721179,56724481,3302,0,0.504896537334642,0.5165618672783592,0.46465190701308945,0.49537010387536357
chr9,45137930,45139230,1300,0,0.4275073089436728,0.39471505521119277,0.6636403249342783,0.49528756302971466
chr14,21982490,21992024,9534,0,0.4896378970261786,0.47017300696449094,0.5260361684915315,0.49528235749406696
chr6,119107050,119109326,2276,0,0.5645547305073877,0.5568261714580887,0.36425930797202266,0.4952134033124997
chr5,139906990,139910509,3519,0,0.482893760581822,0.4797165234521557,0.5228957262667282,0.4951686701002353
chr5,139911690,139913523,1833,0,0.5148758714910828,0.5004279280358868,0.46935147584269904,0.49488509178988954
chr8,124792202,124794914,2712,0,0.5136700073400651,0.47004790809513586,0.5009035648255905,0.4948738267535971
chr9,88327019,88328172,1153,0,0.4797414315835647,0.46028330030951936,0.5435006553325334,0.4945084624085392
chr17,34970271,34972768,2497,0,0.46830134982171107,0.4316958657109285,0.5812192740461188,0.4937388298595861
chr1,155735605,155743474,7869,0,0.4717177070074536,0.4736409724730982,0.5357021126023374,0.49368693069429637
chr17,87745697,87746969,1272,0,0.526083264684318,0.49850391005681854,0.45600027588711545,0.4935291502094173
chr2,61811369,61812915,1546,0,0.6188225707205972,0.5997906131993709,0.2616280086079722,0.4934137308426467
chr5,22343633,22345604,1971,0,0.5378305717252078,0.5169742089965654,0.42377354595734956,0.4928594422263743
chr15,103013529,103016035,2506,0,0.49257763244684255,0.4468225268798252,0.5377634003985902,0.49238785324175266
chr2,37793105,37793930,825,0,0.5402773335489298,0.5638424581144195,0.3727655991339165,0.4922951302657553
chr11,75794809,75796323,1514,0,0.5685566149298718,0.5760826395356798,0.3321196280710482,0.4922529608455332
chr17,85612118,85619256,7138,0,0.4637206165889406,0.4438543259860063,0.56796883095675,0.49184792451056564
chr2,152942781,152943653,872,0,0.44601250224917216,0.4950210173060993,0.5345040516602898,0.49184585707185374
chr9,95405076,95408321,3245,0,0.5359111246250975,0.5199898198856167,0.4191590073562741,0.4916866506223294
chr9,89908429,89911366,2937,0,0.4389093897596368,0.44868227671627775,0.5866856236206436,0.4914257633655194
chr10,123263613,123265849,2236,0,0.4465667089808175,0.447325547339271,0.5790550189415751,0.49098242508722123
chr11,101963545,101964692,1147,0,0.46186618849983957,0.43437851903475533,0.5753725122172115,0.49053907325060214
chr2,18697805,18699792,1987,0,0.47534061456307464,0.46871862457238245,0.5275076275633364,0.49052228889959776
chr14,79767613,79772555,4942,0,0.5758814626176284,0.5368930375303971,0.35777380613509874,0.49018276876104144
chr5,120430712,120441105,10393,0,0.44057377987550794,0.4355939910548795,0.5943150104702396,0.4901609271335423
chr7,138940294,138941520,1226,0,0.5247352889404079,0.4741267776780409,0.4703354288101474,0.48973249847619876
chr4,21677949,21680130,2181,0,0.5606768170489214,0.5248697569353161,0.3834224136121596,0.489656329198799
chr8,92960347,92961488,1141,0,0.5445492802851097,0.5346900963105269,0.38919671356835916,0.489478696721332
chr13,73259804,73261311,1507,0,0.5457827732226239,0.5119422609273184,0.40963064393850646,0.4891185593628163
chr11,103649170,103650494,1324,0,0.4676647747726518,0.43472535257862077,0.564316607098997,0.48890224481675654
chr14,70554091,70555544,1453,0,0.5003287402782455,0.47337934029101214,0.49291449612357957,0.4888741922309457
chr12,118846341,118851013,4672,0,0.48942334047231917,0.5009987629473736,0.4760918876316356,0.48883799701710945
chr9,48834289,48837530,3241,0,0.4633632814202902,0.45025806392502404,0.5526864897204766,0.48876927835526357
chr11,112780929,112785849,4920,0,0.42216361342024034,0.4153407246214747,0.627862523705471,0.48845562058239533
chr5,63648841,63650564,1723,0,0.46426804088023443,0.431342133690096,0.56748824506417,0.48769947321150015
chr1,75387902,75389380,1478,0,0.44029338883519153,0.3860123970382762,0.6366441445921524,0.4876499768218734
chr17,85620268,85626271,6003,0,0.46773946697487767,0.47811200616916366,0.5149257274856177,0.4869257335432196
chr7,121391398,121393292,1894,0,0.4293280764945391,0.40137367962267534,0.6296987623633983,0.4868001728268709
chr8,70495429,70495987,558,0,0.5850565859865653,0.5659210571262808,0.3072166549630258,0.48606476602529064
chr8,126138497,126139632,1135,0,0.5690077229578596,0.5326258284793562,0.35565333348587785,0.4857622949743646
chr8,88453952,88455217,1265,0,0.5633581717337705,0.5662900267539779,0.3275379789230326,0.48572872580359366
chr5,38319157,38319926,769,0,0.4923434258867989,0.4542793707448282,0.5100326651250088,0.48555182058554536
chr18,78048121,78049091,970,0,0.5378905878169452,0.49350210235115477,0.42410896241300117,0.4851672175270337
chr15,101046009,101047492,1483,0,0.45223987915875963,0.45691116131418286,0.5456589387565878,0.4849366597431768
chr4,82536094,82538999,2905,0,0.5125465862905391,0.48446415959494465,0.45692400361924373,0.4846449165015758
chr11,11113618,11116965,3347,0,0.486937000286327,0.47201452187217335,0.49418920796482796,0.4843802433744428
chr6,52227767,52231109,3342,0,0.503462920039647,0.479152775738706,0.46906262843658747,0.4838927747383135
chr14,32462705,32466013,3308,0,0.4176765105187122,0.39993452745488467,0.6330605946975233,0.4835572108903734
chr9,69757363,69762424,5061,0,0.439811735734252,0.4401401177197996,0.5699939470507088,0.4833152668349201
chr8,32883114,32885152,2038,0,0.4615648690331513,0.4648529529686952,0.520598181001814,0.48233866766788686
chr4,109976493,109984947,8454,0,0.511659782342125,0.5116840840997147,0.4230589366394549,0.48213426769376483
chr17,8432602,8435370,2768,0,0.48621717822111804,0.5037627883087865,0.4532665051772394,0.4810821572357146
chr1,120604714,120605227,513,0,0.5419488930405206,0.4730762239031564,0.4281926498636168,0.4810725889357646
chr4,136637203,136638151,948,0,0.5263607882971543,0.4787998683784186,0.43769193903138887,0.48095086523565395
chr19,45153234,45156257,3023,0,0.48710190394154096,0.48977293900881197,0.4656698652601511,0.48084823607016797
chr5,35399473,35400224,751,0,0.5210303631372537,0.5359338763334569,0.38534765062448423,0.4807706300317316
chr9,74860453,74864221,3768,0,0.4321357794855441,0.42903388342912313,0.5809878326030379,0.48071916517256835
chr4,115062690,115063995,1305,0,0.47915445740944745,0.454585232210431,0.5080447025257259,0.48059479738186806
chr9,99868213,99873569,5356,0,0.4844014121737561,0.43829212844392024,0.5190537335910385,0.48058242473623825
chr11,119080878,119082133,1255,0,0.48291657078085587,0.4742107332794677,0.48403986868554333,0.48038905758195566
chr1,154204691,154205537,846,0,0.45279619370856616,0.4692865772460529,0.5171083316789158,0.47973036754451165
chr19,43609222,43617306,8084,0,0.4659861340360457,0.4587909647843322,0.5139731289746763,0.479583409265018
chr11,21992473,22005036,12563,0,0.4870164993730679,0.4732857126117947,0.477489220788731,0.47926381092453124
chr2,71538697,71548156,9459,0,0.48601499580283114,0.4703815188666091,0.48122937329374726,0.4792086293210625
chr5,112576462,112577776,1314,0,0.45644760501194087,0.4276559387932525,0.553125673309962,0.47907640570505183
chr7,144837808,144839899,2091,0,0.4060632932033864,0.4172586631125819,0.6125257827711892,0.47861591302905254
chr2,131040949,131041789,840,0,0.6115160321941232,0.5730396198899306,0.2512746101434466,0.47861008740916683
chr7,112953621,112955818,2197,0,0.3819550815345786,0.3589311972242938,0.6942325748160456,0.4783729511916393
chr7,98834391,98837310,2919,0,0.44160918676426386,0.4297716446088955,0.5632166587973519,0.4781991633901705
chr17,26438713,26439372,659,0,0.6102745320197617,0.5358695385619044,0.288210904823768,0.4781183251351447
chr17,85683767,85691501,7734,0,0.48231912924308484,0.45568540975141086,0.49621487753799604,0.4780731388441639
chr3,87999312,88000963,1651,0,0.4692481386940058,0.4676170464784625,0.49686987626575163,0.4779116871460733
chr5,101657489,101660255,2766,0,0.4812811165816819,0.43827550991883674,0.5135450723130024,0.4777005662711737
chr7,131541521,131547169,5648,0,0.46766031266585517,0.46550420334201287,0.49950606430334793,0.4775568601037387
chr16,18620308,18622437,2129,0,0.4808860574181022,0.5081321104085063,0.44351531083273443,0.4775111595531143
chr1,78215627,78218634,3007,0,0.5287625518861256,0.5021825237733513,0.3981301291739881,0.476358401611155
chr3,104961258,104962740,1482,0,0.5147962910211199,0.45483393495076085,0.45923183413115454,0.4762873533676784
chr3,121262250,121263493,1243,0,0.5784014882108729,0.5670628240436982,0.2828099270917918,0.47609141311545433
chr13,53471927,53473165,1238,0,0.5540459675487165,0.5173248873417834,0.3561883108012757,0.4758530552305919
chr14,63244089,63248474,4385,0,0.5678202168308518,0.53685161376704,0.32122735310599626,0.4752997279012961
chr3,103575082,103576755,1673,0,0.49467828334620023,0.46268958016874434,0.4681169141386483,0.4751615925511976
chr14,28504337,28507845,3508,0,0.39670334902180837,0.4436787025867518,0.5849736935919788,0.475118581733513
chr12,111485091,111486739,1648,0,0.4516868237491526,0.44005285624528484,0.5329677142375212,0.4749024647439863
chr5,101662224,101668416,6192,0,0.5022083445483245,0.47707599636245984,0.4450961937331836,0.4747935115479893
chr7,49974623,49976408,1785,0,0.44860448085713517,0.4412423243694308,0.5336688755620158,0.4745052269295273
chr7,40898006,40900371,2365,0,0.4671375124670615,0.44757830014618144,0.5065838462168073,0.47376655294335007
chr8,71692553,71694323,1770,0,0.48501009944743945,0.4983768283065257,0.43719415249463983,0.473527026749535
chr9,122568483,122570466,1983,0,0.41238160797399054,0.392566955635849,0.6152144695902825,0.4733876777333739
chr15,98893134,98894823,1689,0,0.4163040639027413,0.40495826665302886,0.597928456189243,0.47306359558167105
chr17,8799429,8803422,3993,0,0.4074564812993567,0.39441598421830293,0.6171005444513934,0.47299100332301763
chr8,70373276,70376761,3485,0,0.5038824992026992,0.5120972524762926,0.40295425350334496,0.4729780017274456
chr5,29477435,29479867,2432,0,0.5019214957443078,0.4658586288934052,0.4506700710448659,0.47281673189419293
chr17,29886531,29890132,3601,0,0.4180654653184084,0.4149816075189394,0.5841654842532901,0.47240418569687925
chr16,94078950,94079769,819,0,0.5470252173767589,0.5251417456075679,0.34417578628148787,0.4721142497552715
chr2,119321610,119323441,1831,0,0.4627006717704977,0.45298932897833954,0.500629590608853,0.4721065304525634
chr2,163339083,163339977,894,0,0.5109455264099055,0.5265773225810786,0.37854055372751577,0.4720211342395
chr6,52211367,52213713,2346,0,0.4871485425519961,0.5003213653495107,0.4269311940085901,0.47146703397003226
chr2,71528059,71533056,4997,0,0.44226721615012465,0.4657577866519017,0.5049916288994384,0.47100554390048827
chr11,98545193,98546290,1097,0,0.49670424783863026,0.49809315557389106,0.41816469008117524,0.47098736449789885
chr11,119035262,119038419,3157,0,0.45933094057627216,0.45498055429108514,0.49844236837895917,0.4709179544154389
chr7,141293755,141294753,998,0,0.48088530823673714,0.4735993552852743,0.4554398813730637,0.46997484829835834
chr1,127676708,127678390,1682,0,0.49911241480602664,0.5078484285643138,0.40260035637233027,0.46985373324755697
chr5,37820962,37821787,825,0,0.48735938951944396,0.4093613394794102,0.5114434168475624,0.4693880486154722
chr11,96297927,96305242,7315,0,0.4486874109846134,0.4422146999947333,0.5163055779421928,0.4690692296405132
chr9,119578106,119579438,1332,0,0.4962063604808077,0.4536994359131293,0.4569056496883301,0.46893714869408903
chr8,57319687,57324034,4347,0,0.530224617859755,0.4713554847396966,0.40504562804519717,0.46887524354821625
chr10,19848989,19852555,3566,0,0.47146286128127013,0.46579234049442525,0.46856939602583353,0.4686081992671763
chr19,24896838,24901653,4815,0,0.43589672323986844,0.41804154245234454,0.5496626901407033,0.46786698527763876
chr2,38353968,38358260,4292,0,0.46459474964974173,0.4538976759223823,0.4823201228297202,0.4669375161339481
chr9,54698981,54700167,1186,0,0.5225044571938727,0.5019847072425547,0.37617212816013973,0.4668870975321891
chr12,30883830,30885052,1222,0,0.4590051991094928,0.4484389860536852,0.49231092215521305,0.46658503577279703
chr19,5559283,5561627,2344,0,0.39645709907562027,0.3611994965504801,0.6419739734972932,0.46654352304113117
chr14,58069901,58077054,7153,0,0.45654536920327976,0.4440531068701759,0.49880590636415645,0.466468127479204
chr15,103085858,103086726,868,0,0.4668976191305283,0.4480178828717796,0.4843701245078685,0.46642854217005875
chr1,167691913,167692722,809,0,0.48173171736086406,0.4600732251784852,0.45745412113805617,0.46641968789246846
chr19,43600847,43601952,1105,0,0.4830012194682674,0.46291343614066166,0.4532946435271567,0.4664030997120286
chr11,121156252,121157026,774,0,0.437378275348836,0.44382999424350295,0.5156279333293184,0.4656120676405524
chr1,167687950,167690062,2112,0,0.44645373213183587,0.45961484994938034,0.4907025575025178,0.4655903798612447
chr16,35154103,35156938,2835,0,0.5356179137163208,0.5114180885806794,0.3487943081426207,0.4652767701465403
chr15,64920444,64923330,2886,0,0.44085626154423263,0.42426437124604327,0.5299477346623117,0.46502278915086254
chr2,119323838,119327545,3707,0,0.447141663499743,0.42491616967420465,0.5221417883251532,0.464733207166367
chr4,115938216,115940362,2146,0,0.4490546011174561,0.4768329281001453,0.46827047172609654,0.46471933364789936
chr8,11311909,11314136,2227,0,0.44290789420342275,0.42011549408768734,0.5301340189145907,0.46438580240190025
chr4,131836185,131838725,2540,0,0.4232015298129973,0.37901993478370793,0.590539937716353,0.46425380077101935
chr3,129198620,129201187,2567,0,0.4621925803151505,0.46667407847103176,0.4638458133021047,0.4642374906960957
chr17,36083195,36084287,1092,0,0.49338107777468865,0.4633936911099053,0.4355880697467662,0.4641209462104534
chr8,87468296,87469479,1183,0,0.5050531160447279,0.4755589125121157,0.4114635656584993,0.46402519807178094
chr5,139539404,139545727,6323,0,0.46902969139770195,0.4867604637996412,0.4359466040057406,0.4639122530676946
chr1,91800655,91802486,1831,0,0.5004479580652061,0.4784041637875226,0.4110538538137793,0.463301991888836
chr9,65391012,65391734,722,0,0.5830722574250238,0.4965404670980485,0.308615115440815,0.46274261332129574
chr3,157566197,157568161,1964,0,0.4202227321176154,0.4044632592573742,0.5634273580991841,0.4627044498247246
chr3,127631212,127635368,4156,0,0.4198505203306296,0.41480870244447293,0.553126772125081,0.46259533163339456
chr5,139546048,139554229,8181,0,0.453156011226871,0.44474007341222765,0.48909518307325445,0.4623304225707843
chr14,122449837,122451604,1767,0,0.6135869401486846,0.6217250434945218,0.14966587158658426,0.46165928507659687
chr2,163202500,163205630,3130,0,0.415640385665074,0.42240815005549365,0.5465017930119671,0.46151677624417825
chr13,58806324,58808914,2590,0,0.4341229842935874,0.41780647590986125,0.532441238641403,0.46145689961495057
chr4,115056248,115060101,3853,0,0.4295979713740119,0.3997015164577634,0.5541195152639264,0.4611396676985673
chr7,81933266,81935001,1735,0,0.5476136446891883,0.5265004198617689,0.30927217650223354,0.46112874701773027
chr17,85607565,85609239,1674,0,0.5062878489814477,0.4806191665907812,0.3962468528546749,0.4610512894756346
chr7,137316064,137323500,7436,0,0.4670137877964675,0.4579455323400551,0.45706431464578806,0.4606745449274369
chr1,120600056,120600527,471,0,0.5955480042070023,0.5680804268641519,0.218150361653623,0.46059293090825904
chr14,25456929,25461818,4889,0,0.38855957337148367,0.3986439475309765,0.5943594815125891,0.46052100080501646
chr3,89830745,89831995,1250,0,0.5235165742571977,0.5140975579637853,0.343491356795276,0.46036849633875304
chr12,102127965,102130048,2083,0,0.42892973582511784,0.4509350838251821,0.5007387927600805,0.4602012041367935
chr16,91219460,91228068,8608,0,0.42700242255584114,0.4247061527809632,0.5287139439948203,0.4601408397772082
chr5,28164302,28169072,4770,0,0.4631144401000575,0.451102559010949,0.4650325520111047,0.4597498503740371
chr4,44710676,44714493,3817,0,0.4301171184644965,0.45862813251886536,0.4903627212963822,0.4597026574265814
chr2,9874339,9875177,838,0,0.4082618200068026,0.44514057201323565,0.5241427496186185,0.45918171387955226
chr5,98184630,98186963,2333,0,0.5395104788985841,0.5146610491122732,0.321852660515944,0.45867472950893373
chr16,17833161,17834396,1235,0,0.549980108221162,0.5468811196382077,0.27897043059516924,0.45861055281817964
chr6,52247895,52249984,2089,0,0.46385518485532773,0.44003163683238317,0.4692198664643745,0.4577022293840285
chr14,84442176,84448616,6440,0,0.4886884687850988,0.4583034713136392,0.4257728067621224,0.4575882489536201
chr3,68869011,68870939,1928,0,0.47462266232425454,0.4867591320147097,0.41055895709330176,0.4573135838107553
chr3,94363346,94364382,1036,0,0.5650702528011545,0.5345842530015688,0.272047086696255,0.4572338641663261
chr11,52764185,52766260,2075,0,0.4118576757586267,0.41055930071645297,0.5491055094724138,0.45717416198249783
chr6,65670992,65673143,2151,0,0.4275202088329996,0.40762428342977597,0.5359646493298585,0.4570363805308781
chr6,67534437,67536041,1604,0,0.42375857751893814,0.4017000851536849,0.543654585145227,0.45637108260595
chr10,122448140,122449681,1541,0,0.42051228225170945,0.4278842988409943,0.5196013576853188,0.45599931292600754
chr5,106453021,106454647,1626,0,0.43573213577835795,0.43098084169847833,0.5004454947144542,0.4557194907304301
chr15,7809780,7814575,4795,0,0.42163757544904107,0.4377299139150845,0.5077558616353274,0.4557077836664843
chr12,56694159,56698623,4464,0,0.42218073236737935,0.4259922352584525,0.5179873011695401,0.455386756265124
chr12,84570809,84572083,1274,0,0.46947986608645664,0.4823958680649378,0.41390674903353336,0.4552608277283092
chr10,87492130,87495175,3045,0,0.4499526639020975,0.4456040454606295,0.4689220140790203,0.45482624114724907
chr13,98390784,98391735,951,0,0.5410845037002464,0.4838190479820168,0.33935980293613216,0.4547544515394651
chr7,113765765,113767974,2209,0,0.40531291063241465,0.39347751105349316,0.5652453013443137,0.4546785743434072
chr15,35292904,35297307,4403,0,0.45540978289173367,0.41423759210121414,0.49361355699932535,0.4544203106640911
chr11,72135123,72136388,1265,0,0.4926585936207028,0.48123627926463863,0.38895583454748905,0.4542835691442768
chr9,118476351,118480166,3815,0,0.45526767693385195,0.426221736883587,0.4813284344346532,0.4542726160840307
chr4,154634692,154638741,4049,0,0.43727530059458164,0.3940821941656319,0.5294423460409915,0.45359994693373507
chr5,147723946,147727490,3544,0,0.40190496040565904,0.43878704354287196,0.5193511505571564,0.4533477181685625
chr1,187607592,187610094,2502,0,0.39575783545537624,0.40666288076859636,0.5570827186823908,0.4531678116354545
chr19,37692685,37693529,844,0,0.46610939674870805,0.440048145347065,0.4533398647295025,0.4531658022750918
chr4,131919680,131922381,2701,0,0.5481835257405123,0.506833486785733,0.3043425331813541,0.4531198485691998
chr15,80286881,80288370,1489,0,0.5308921045758588,0.5404553644827111,0.28798073007169867,0.4531093997100896
chr2,74703415,74706724,3309,0,0.561444626521738,0.5337026105952963,0.26345463950731557,0.45286729220811667
chr1,40679915,40682343,2428,0,0.4388139207908853,0.43425644713110323,0.4854993763915878,0.45285658143785873
chr6,23246550,23251192,4642,0,0.4421049935948845,0.430332769002275,0.48514104497318256,0.452526269190114
chr12,80518075,80520496,2421,0,0.4140175688630229,0.4129332152012415,0.5300245345868213,0.4523251062170286
chr4,107434047,107435968,1921,0,0.43968072285354515,0.4209805424135788,0.4956487645852032,0.45210334328410906
chr5,131306123,131308156,2033,0,0.37876980050417486,0.38916437379439833,0.588012402547838,0.45198219228213715
chr7,126081422,126082981,1559,0,0.5453269020598219,0.5024914468375573,0.30734556307826866,0.45172130399188265
chr9,54764228,54766213,1985,0,0.40156998619089435,0.41265079725799386,0.5398333880201608,0.4513513904896829
chr9,79717946,79720010,2064,0,0.46921654863125534,0.47400323168313213,0.41073993881882354,0.45131990637773695
chr14,39471780,39474329,2549,0,0.4178211572968895,0.4458025911231672,0.49029828657852426,0.451307344999527
chr18,67132849,67134398,1549,0,0.41467565271849743,0.39492366134828416,0.5436267160854051,0.45107534338406224
chr11,57827285,57830494,3209,0,0.4536701414890712,0.45263225644650434,0.4464402004689373,0.4509141994681709
chr1,74880836,74886772,5936,0,0.4523624144736144,0.42337146602805303,0.47573451874792083,0.45048946641652937
chr9,56795455,56797312,1857,0,0.42540944214948906,0.4207669834208749,0.5052383655264628,0.45047159703227563
chr3,131105360,131113752,8392,0,0.4374925017441265,0.4352308498925865,0.47674955454437246,0.44982430206036184
chr3,129213194,129219125,5931,0,0.41867301313821226,0.4145974752177054,0.5158348740737436,0.4497017874765537
chr11,85829077,85833909,4832,0,0.47583098094871057,0.46936813840167696,0.4039041230816465,0.449701080810678
chr12,5373212,5376368,3156,0,0.423550156497201,0.43192592821232795,0.49345280062223595,0.449642961777255
chr13,71958169,71960437,2268,0,0.4601973016701121,0.47017291472607564,0.417635835829719,0.4493353507419689
chr11,96343906,96346919,3013,0,0.44792326721267894,0.4711750799865137,0.4286584360321172,0.4492522610771033
chr2,150500472,150500918,446,0,0.5077326224751842,0.48414120741377675,0.3556827462506639,0.44918552537987494
chr7,98193457,98194612,1155,0,0.45112176831668277,0.4143351521549379,0.4819244415441717,0.4491271206719308
chr2,74666871,74670588,3717,0,0.47401444791894476,0.4537893141375752,0.419383616156529,0.4490624594043497
chr11,96281601,96288057,6456,0,0.4501656599337367,0.4543829923813478,0.4415298243267341,0.44869282554727286
chr4,114900879,114903788,2909,0,0.45056039149350713,0.4433024219444449,0.45194757509396344,0.44860346284397185
chr11,66525154,66527572,2418,0,0.4812128848675209,0.45829513316984394,0.40413600260288235,0.4478813402134157
chr14,122471757,122479738,7981,0,0.6387406997458012,0.6151391860924211,0.08915435593972207,0.44767808059264813
chr4,122959968,122961570,1602,0,0.45201568158959327,0.43822819778704397,0.45255222118541955,0.44759870018735226
chr6,126739325,126740691,1366,0,0.4478765540333704,0.4420358229035014,0.45257715873214716,0.447496511889673
chr1,42692322,42699933,7611,0,0.46985828866328067,0.4445955242704259,0.42730179495134835,0.44725186929501826
chr2,165233432,165235322,1890,0,0.4907621011930777,0.46273972697006194,0.38656169247418215,0.4466878402124406
chr1,18057527,18059002,1475,0,0.43916598809663854,0.44221516620663187,0.4582078847634031,0.4465296796888911
chr6,126642739,126646283,3544,0,0.4082583852187127,0.4141929786152189,0.5162990086011676,0.4462501241450331
chr16,17806761,17807808,1047,0,0.46764501671031866,0.4660946219071972,0.40416871055188935,0.44596944972313507
chr9,37459737,37461075,1338,0,0.4344970776670195,0.4042427038678146,0.4990550932540342,0.44593162492962274
chr17,26840850,26841782,932,0,0.4455919109812186,0.43970505030901924,0.45200256388372584,0.4457665083913212
chr13,43784813,43785531,718,0,0.4576565668468101,0.4367044824157233,0.44204096129567955,0.4454673368527376
chr15,76517375,76520181,2806,0,0.3610118935396034,0.33698876023925695,0.6383963403920552,0.4454656647236385
chr7,70357813,70363020,5207,0,0.527881811410272,0.47320285810851387,0.33501428254170446,0.44536631735349674
chr13,73263192,73264171,979,0,0.4948243928948179,0.45235463736009435,0.3888600059407552,0.4453463453985558
chr1,190171683,190175685,4002,0,0.3930581070699387,0.3990517128657944,0.543144591693976,0.4450848038765696
chr18,80362689,80363788,1099,0,0.4267569448424173,0.4109617205678309,0.4936771369057365,0.4437986007719949
chr11,95142932,95143455,523,0,0.4763165445451344,0.41807726667467754,0.43661111078265025,0.4436683073341541
chr6,121412468,121413592,1124,0,0.4622848293853166,0.4054250290451336,0.46285737753379996,0.4435224119880834
chr6,32586431,32588650,2219,0,0.4534413390079632,0.41322193384649086,0.46369634178753183,0.4434532048806619
chr18,35652246,35655557,3311,0,0.4449338530360014,0.456093530129814,0.4292479329982498,0.44342510538802177
chr18,11049267,11055593,6326,0,0.43010435436375394,0.4128105947532838,0.4872404047640477,0.44338511796036184
chr15,98789368,98790157,789,0,0.41366147285049204,0.42316944345493407,0.4923774577443928,0.44306945801660635
chr1,86018091,86018930,839,0,0.46661795790357913,0.42568046232039314,0.4360526942907728,0.44278370483824836
chr11,96317675,96321130,3455,0,0.49426009881894245,0.4836755459746975,0.350109590299482,0.4426817450310407
chr11,3997888,3998965,1077,0,0.49873231540005947,0.42543762199758023,0.4019053013473856,0.44202507958167514
chr12,51592947,51594622,1675,0,0.4186699681629806,0.39488231861227413,0.5120014996335657,0.4418512621362735
chr7,70345806,70346524,718,0,0.482305511355475,0.44526702343478436,0.3964153313728582,0.44132928872103916
chr5,28462762,28467162,4400,0,0.4340976886634155,0.4275489788306866,0.4613145897318492,0.44098708574198375
chr8,12383726,12387779,4053,0,0.40355016269724786,0.400034216233546,0.5178590355538402,0.4404811381615447
chr10,121309839,121311405,1566,0,0.44798951898967665,0.384366058080432,0.48882393803945234,0.44039317170318704
chr5,118025994,118029824,3830,0,0.4269877691985763,0.4030970901473207,0.4904614119567349,0.44018209043421064
chr15,98894848,98896362,1514,0,0.3858132242087232,0.3813747992047441,0.5524769047225945,0.4398883093786872
chr1,178526760,178531114,4354,0,0.356391452378309,0.35011368407947663,0.6127194402600854,0.43974152557262364
chr5,37822757,37830860,8103,0,0.4179484976535246,0.3956801234170247,0.5040316424415311,0.43922008783736005
chr2,74762387,74763814,1427,0,0.45506011008496966,0.47312025464633223,0.38753190803518484,0.4385707575888289
chr9,102352743,102355102,2359,0,0.4082651938570171,0.40026296020599805,0.5071693447808862,0.43856583294796714
chr5,38158606,38159982,1376,0,0.44156874446825606,0.43980399378419976,0.43380472141076054,0.4383924865544055
chr2,105666460,105670203,3743,0,0.4429613956921674,0.43629825102583614,0.4348005194109719,0.43802005537632516
chr10,50893671,50895895,2224,0,0.4420208443788864,0.4472442704309141,0.42362176929731893,0.43762896136903984
chr9,110741804,110744277,2473,0,0.4767922719691284,0.45260349642442843,0.3833024445945662,0.43756607099604095
chr7,24943895,24945137,1242,0,0.41823546308269144,0.39687681492866705,0.49737001785105106,0.43749409862080313
chr4,115935842,115937087,1245,0,0.44438813938709243,0.4162109788049891,0.4511031207264637,0.4372340796395151
chr19,45149645,45152148,2503,0,0.4760201843164025,0.45902868186937656,0.37641004585603016,0.43715297068060305
chr4,22486306,22492512,6206,0,0.41607763584077023,0.4159968398723451,0.4791181445078633,0.43706420674032626
chr1,17096630,17098138,1508,0,0.3978106089267669,0.3746614595560896,0.5380196102392212,0.4368305595740259
chr4,153480931,153483558,2627,0,0.4797137447050412,0.48286083828409343,0.346653713361533,0.4364094321168892
chr15,75745644,75749074,3430,0,0.47141892839959565,0.4601368335154137,0.377497102660086,0.4363509548583651
chr3,45375176,45382236,7060,0,0.4021672139107764,0.3750540675594674,0.5298844784290047,0.4357019199664161
chr14,70887950,70891661,3711,0,0.45286567561529484,0.42893271759452223,0.42479490496627664,0.4355310993920312
chr2,93645763,93646215,452,0,0.4850598321806469,0.4101077201099321,0.4106808916021305,0.4352828146309031
chr5,98854399,98855582,1183,0,0.3753430690405123,0.34093821530758833,0.5887550307016035,0.435012105016568
chr2,147361536,147362856,1320,0,0.43163497248525645,0.41607196849471173,0.4568417789398217,0.4348495733065967
chr8,102783286,102787173,3887,0,0.4884663730383877,0.4530756750389004,0.36237952265903706,0.4346405235787751
chr1,155097797,155099879,2082,0,0.45457125928300796,0.4340729733596454,0.4152467485275106,0.43463032705672133
chr10,12941088,12941771,683,0,0.4326296034514836,0.41787159579971594,0.4517496348247869,0.43408361135866214
chr5,136882503,136883241,738,0,0.46005990791961054,0.42578840827301123,0.4159091177671465,0.43391914465325615
chr11,116531320,116534608,3288,0,0.3647906378072746,0.3872846073275184,0.5488669939041351,0.433647413012976
chr2,122297409,122297948,539,0,0.4774427903111527,0.45752484946962696,0.36580397022357297,0.4335905366681176
chr11,75192905,75195808,2903,0,0.399984451969508,0.39914696752043105,0.5016146736826754,0.4335820310575382
